Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap
A,1.01,2.79,0.0481,0.0359,0.17309999999999998,-0.0678,0.8739,62.16,127.69,-0.0024,0.0068000000000000005
AB,1.41,1.04,0.0378,0.0745,0.28059999999999996,-0.0463,1.4559,60.17,40.94,0.0209,0.0028000000000000004
ABBV,0.81,2.21,0.0199,0.018500000000000003,0.09820000000000001,-0.0431,0.5192,56.53,108.52,-0.0037,0.006500000000000001
ABC,0.52,2.71,0.0298,0.0735,0.1422,-0.030299999999999997,0.4611,61.36,116.89,-0.0089,-0.0011
ABR,1.93,0.59,-0.0016,0.028399999999999998,0.268,-0.0599,3.2751,51.69,16.16,0.009399999999999999,0.0069
ABTX,1.11,1.73,-0.0037,0.0599,0.33909999999999996,-0.0565,0.9582999999999999,53.84,40.89,0.0131,-0.0044
ACGL,0.86,0.94,0.051100000000000007,0.1075,0.20420000000000002,0.0018,0.8829,67.27,39.41,0.0282,-0.001
ACI,,0.67,-0.0103,0.0416,0.1685,-0.10769999999999999,0.4253,50.19,18.4,-0.0316,-0.0037
ACLS,1.41,2.69,0.2346,0.2441,0.6228,0.07690000000000001,1.9546999999999999,68.01,47.6,0.1355,0.0202
ACN,1.09,5.45,0.051100000000000007,0.0768,0.1585,-0.0105,0.8771,66.3,278.34,-0.001,0.0086
ACRS,0.69,2.1,0.1139,0.1918,2.2643,-0.051399999999999994,26.601300000000002,60.39,26.5,0.0038,0.047599999999999996
ADI,1.3,5.08,0.06280000000000001,0.0458,0.2018,-0.0245,0.9346,59.06,160.38,0.0191,0.0148
ADM,0.88,1.18,0.0053,0.0384,0.18280000000000002,-0.024900000000000002,0.7464,54.9,57.65,0.0091,0.0023
ADSK,1.34,9.78,0.061799999999999994,0.0016,0.0862,-0.1159,1.0949,56.95,283.9,0.0175,0.0067
ADTN,1.43,0.89,-0.0098,0.006999999999999999,0.2797,-0.1149,1.2937,50.76,17.18,0.016,0.0138
AEF,,0.14,0.0124,0.0040999999999999995,0.1877,-0.0426,0.7873,54.5,8.76,0.0,0.0127
AEIS,1.82,5.87,0.11289999999999999,0.0833,0.3525,-0.0705,1.7932,60.8,116.7,0.044000000000000004,0.0239
AES,0.8,0.83,0.0125,0.0111,0.29719999999999996,-0.0688,1.4609,53.43,27.07,0.0011,0.0086
AFG,0.93,2.82,-0.013500000000000002,0.0703,0.41100000000000003,-0.0555,1.2622,52.79,113.94,0.0043,-0.005699999999999999
AFL,0.99,1.03,0.0104,0.0584,0.2427,-0.0258,0.6959000000000001,57.71,51.42,0.009000000000000001,-0.0043
AFMD,2.59,0.55,0.0684,0.19870000000000002,0.5792,-0.0953,4.1867,57.48,7.78,-0.0371,0.0215
AGCO,1.34,4.53,0.0392,0.1336,0.5822999999999999,-0.027200000000000002,2.3711,62.74,144.42,0.0042,0.0012
AGIO,1.64,3.14,0.0575,0.045,0.18100000000000002,-0.10710000000000001,0.6206,55.97,52.62,0.009000000000000001,0.009899999999999999
AGX,0.56,1.77,0.049800000000000004,0.122,0.21960000000000002,-0.015300000000000001,0.7603,65.14,54.63,0.011699999999999999,0.012199999999999999
AHH,0.84,0.47,-0.012,0.0451,0.222,-0.0922,1.0312000000000001,53.2,13.0,0.0334,0.0032
AJRD,0.51,0.51,0.0058,0.0034999999999999996,0.19079999999999997,-0.0217,0.6291,53.35,47.19,-0.0021,0.006999999999999999
ALE,0.44,1.61,-0.0028000000000000004,0.0286,0.1426,-0.0663,0.3971,52.9,67.37,-0.0015,0.0042
ALLT,0.55,0.71,0.0851,0.11199999999999999,0.4224,-0.0455,0.9738,62.13,16.58,0.0222,0.015700000000000002
ALRS,0.83,1.45,-0.027200000000000002,0.0582,0.2787,-0.10949999999999999,1.0395999999999999,50.55,30.9,0.039,-0.0013
ALTG,,0.58,0.11,0.2119,0.4725,-0.0096,2.3475,66.71,13.39,0.022099999999999998,0.0077
ALTR,1.54,2.97,0.0437,0.0334,0.2717,-0.0767,1.7483000000000002,54.88,63.32,-0.0042,0.0163
ALV,1.89,2.66,0.0040999999999999995,0.0172,0.14730000000000001,-0.051,1.3638,52.97,94.15,0.009000000000000001,0.0055000000000000005
AMAT,1.48,6.62,0.1996,0.2511,0.7611,0.0444,2.4036,69.67,141.52,0.0275,0.030899999999999997
AMGN,0.72,5.07,0.0378,0.042800000000000005,0.044199999999999996,-0.09949999999999999,0.28300000000000003,61.59,249.17,-0.0022,0.0037
AMH,0.47,0.78,0.0683,0.0867,0.1634,0.008,0.7179000000000001,67.55,34.23,0.0206,0.006
AMKR,1.67,1.36,0.0915,0.1577,0.6131,-0.0579,2.4422,59.77,24.56,0.015300000000000001,0.0202
AMOT,1.79,2.63,0.0223,0.060700000000000004,0.19399999999999998,-0.051,1.6457,53.57,52.28,0.0241,-0.0055000000000000005
AMRK,-0.45,2.05,0.0028000000000000004,0.1023,0.2814,-0.1175,2.3684,53.23,35.38,-0.0126,-0.004699999999999999
AMRS,1.2,2.29,-0.0073,0.2364,1.8291,-0.1729,9.3307,53.02,19.37,0.0152,-0.001
AMRX,1.31,0.45,0.0278,0.1585,0.39159999999999995,-0.11349999999999999,1.4354,55.36,6.6,-0.0179,-0.0015
AMWD,2.3,4.28,0.0074,0.034,0.1211,-0.08789999999999999,1.7582,53.42,99.25,0.0024,0.0044
ANDE,0.69,1.23,-0.0297,0.0275,0.3002,-0.1054,1.4959,49.12,27.58,0.0073,0.0
ANET,1.18,9.47,0.0771,0.032799999999999996,0.2101,-0.056799999999999996,0.6299,60.5,308.04,0.0131,0.0072
