Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap
TPVG,1.87,0.43,0.003,0.0482,0.2157,-0.0336,4.1819999999999995,55.77,14.4,-0.0197,0.014499999999999999
TPX,2.02,1.57,0.11800000000000001,0.2192,0.5521,-0.014499999999999999,5.5691,68.44,36.13,0.045700000000000005,0.0111
TRC,0.65,0.45,-0.0098,0.0418,0.1231,-0.067,0.3779,52.79,16.7,-0.0024,0.0109
TROW,1.17,5.35,0.0555,0.0929,0.233,-0.0134,1.0931,63.08,172.7,0.0414,0.0141
TROX,2.71,1.05,-0.009300000000000001,0.1054,0.6692,-0.133,3.665,53.42,18.52,0.0277,0.0129
TRQ,2.17,0.93,-0.0278,0.07980000000000001,0.452,-0.1548,3.7325999999999997,49.83,14.25,-0.0049,0.0106
TSCO,1.01,5.91,-0.0268,0.0172,0.10060000000000001,-0.1032,1.4388999999999998,48.05,155.82,0.0189,0.008
TTC,0.78,2.27,-0.0163,0.0023,0.1827,-0.0466,0.8909,47.28,98.46,0.0232,-0.0042
TTEC,0.79,3.79,-0.0432,0.019799999999999998,0.36,-0.1492,2.1943,47.08,81.67,0.0206,-0.0264
TTGT,0.91,5.61,-0.12300000000000001,0.0213,0.5659000000000001,-0.2336,3.609,43.53,77.5,0.0197,0.002
TU,0.75,0.35,0.0060999999999999995,0.0128,0.11960000000000001,-0.034,0.5421,55.07,20.88,0.0166,0.0064
TWTR,0.82,4.16,-0.0339,0.14730000000000001,0.4911,-0.1709,2.3475,51.34,66.95,-0.0064,0.009399999999999999
UBSI,1.42,1.28,0.09300000000000001,0.1462,0.3753,0.0003,1.0295,68.16,39.92,0.0124,0.021
UCBI,1.34,1.14,0.051100000000000007,0.10830000000000001,0.5101,-0.0171,1.3224,63.06,34.72,0.0023,0.0259
UCTT,2.0,3.44,-0.0356,0.1069,0.5761,-0.1193,2.8804000000000003,50.61,45.75,0.0223,0.0254
UFPI,1.49,2.16,0.0176,0.064,0.1334,-0.049100000000000005,1.1392,59.2,62.4,0.005600000000000001,0.006
UHAL,0.88,16.84,0.11960000000000001,0.2127,0.54,0.005,1.6982,80.95,596.44,0.0373,-0.0052
UMH,1.07,0.51,0.0821,0.1555,0.28300000000000003,0.0039000000000000003,1.1054000000000002,71.97,18.17,0.0111,0.0096
UNFI,1.31,2.16,0.15109999999999998,0.3398,0.6225999999999999,-0.042,5.3,70.91,31.5,-0.006,0.0599
UNH,0.75,7.74,0.0529,0.0208,0.0803,-0.0567,0.8490000000000001,63.62,347.1,0.036000000000000004,0.0037
UNM,1.75,1.07,0.1176,0.1736,0.4366,0.0003,2.0052000000000003,65.89,28.79,0.033,0.0209
UPS,1.01,3.63,0.0166,0.012199999999999999,0.09609999999999999,-0.0765,1.0049,56.55,164.4,0.0242,0.0066
USNA,1.0,3.15,0.0904,0.17809999999999998,0.25370000000000004,-0.0116,1.3574000000000002,72.89,101.39,0.0064,0.0060999999999999995
UTZ,,1.17,-0.0424,0.021,0.3508,-0.0955,1.4482,46.84,24.08,0.0313,0.0052
UUUU,,0.67,-0.0401,0.1391,1.1029,-0.24170000000000003,5.7564,51.21,5.27,-0.058899999999999994,0.042800000000000005
UVV,0.7,1.39,0.0501,0.0674,0.1834,-0.0229,0.44299999999999995,63.76,53.45,0.0183,0.0106
VALE,1.12,0.7,0.0158,0.0242,0.3759,-0.0582,1.8048,53.88,17.74,0.0362,-0.0132
VCEL,2.96,3.19,-0.1175,0.0365,0.7611,-0.2125,5.2699,43.07,42.51,0.0271,0.024300000000000002
VGR,1.17,0.51,0.0168,0.09140000000000001,0.2626,-0.0466,0.7576,56.03,13.92,0.022799999999999997,0.0149
VIPS,0.79,1.9,0.1515,0.31489999999999996,0.8029000000000001,0.02,2.2714,77.85,41.22,0.038,-0.0018
VIRT,-0.3,1.2,-0.025099999999999997,0.0204,0.10210000000000001,-0.0934,0.5595,48.77,26.98,0.003,0.004699999999999999
VLRS,2.83,0.8,0.0649,0.19949999999999998,0.7283,-0.0738,4.1633,64.29,15.18,-0.0282,0.024900000000000002
VMI,1.22,7.63,0.0242,0.12890000000000001,0.5481,-0.053,1.8276,59.77,233.56,0.0118,0.0152
VRT,,1.0,-0.0475,0.0034000000000000002,0.16949999999999998,-0.1061,3.2211000000000003,43.81,20.05,-0.0104,0.011000000000000001
VRTS,1.49,12.72,-0.018600000000000002,0.0564,0.47130000000000005,-0.0892,3.4412000000000003,51.32,245.91,0.0116,0.0222
VSH,1.44,0.94,-0.01,0.0316,0.2818,-0.0638,1.0793000000000001,50.66,23.35,0.0126,0.024
VTOL,1.41,1.36,0.0437,0.053899999999999997,0.3093,-0.07139999999999999,1.7257,57.96,28.62,0.0325,0.0282
VVV,1.41,0.66,0.034300000000000004,0.0528,0.18530000000000002,-0.0051,1.8135,58.3,25.49,0.0316,0.0060999999999999995
